Insitution GUID,Program_Name,CIP_Code,Program_Type,Credential,Index,JM_Assigned_GUID
9b3a056218274cb084fd6d04e8f3ea5d,Doctor of Philosophy - Health Sciences,51,Graduate Programs,Degree,1,b6760ab8-6ee1-40a7-847c-62be8c12aee9
9b3a056218274cb084fd6d04e8f3ea5d,Doctor of Philosophy - Natural Resources & Environmental Studies,3.0101,Graduate Programs,Degree,2,b09fc67d-e584-4a5f-85e0-07142fa1bd50
9b3a056218274cb084fd6d04e8f3ea5d,Doctor of Philosophy - Psychology,42.0101,Graduate Programs,Degree,3,44317c60-015b-4ecf-a064-103307334900
9b3a056218274cb084fd6d04e8f3ea5d,Indigenous Child & Youth Mental Health Certificate,44.0702,Graduate Programs,Certificate,4,562798d6-fb30-4a50-8016-274abfa9876c
9b3a056218274cb084fd6d04e8f3ea5d,Leading for Learning Graduate Certificate,13.0401,Graduate Programs,Certificate,5,18b2d832-e7ed-42be-8eab-36767b558707
9b3a056218274cb084fd6d04e8f3ea5d,Master of Applied Science - Engineering,14.1401,Graduate Programs,Degree,6,b00cd3df-eb0a-4253-ae75-7ac86989182f
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - Development Economics,45.0604,Graduate Programs,Degree,7,f5105f8d-86e7-4e1c-b341-7e1ce64c5d18
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - Disability Management,51.2206,Graduate Programs,Degree,8,6530ef30-cc55-44d2-abd3-2111e0f6036a
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - English,23.0101,Graduate Programs,Degree,9,e849d74f-fe7b-4d3a-8aba-2158b1a2f4fb
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - First Nations Studies,5.0202,Graduate Programs,Degree,10,617a2aec-32b8-4973-9e03-c639a718f044
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - Gender Studies,5.0299,Graduate Programs,Degree,11,bb1adb95-f9a3-491d-8681-89eb4564b87c
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - History,54.0101,Graduate Programs,Degree,12,d07a2514-a843-4d4b-8e56-f8ccdd7690f3
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - Interdisciplinary Studies,30.9999,Graduate Programs,Degree,13,e658d815-6fc4-4b44-b440-046fa02f45be
9b3a056218274cb084fd6d04e8f3ea5d,Master of Arts - International Studies,30.2001,Graduate Programs,Degree,14,875f79c5-37e1-4166-9dba-05ba5e58a7cf
9b3a056218274cb084fd6d04e8f3ea5d,"Master of Arts - Natural Resources & Environmental Studies, Environmental Science",3.0103,Graduate Programs,Degree,15,36fe6c2b-9d43-4e40-ba29-9865c06b3e8f
9b3a056218274cb084fd6d04e8f3ea5d,"Master of Arts - Natural Resources & Environmental Studies, Geography",45.0701,Graduate Programs,Degree,16,4b609530-c108-4ee0-b8f4-2e1d83a61de7
9b3a056218274cb084fd6d04e8f3ea5d,"Master of Arts - Natural Resources & Environmental Studies, Outdoor Recreation, Conservation & Tourism",3.0207,Graduate Programs,Degree,17,e623f025-3b6e-4cbb-b973-2c16444707b8
